S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
1,ALURI CHINNARAO,Bahujan Samaj Party,1536,7,1543,1.02,Achanta,56,Andhra Pradesh 
2,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,58353,495,58848,39.09,Achanta,56,Andhra Pradesh 
3,NEKKANTI VENKATA SATYANARAYANA (SATISH),Indian National Congress,1859,13,1872,1.24,Achanta,56,Andhra Pradesh 
4,SATYANARAYANA PITHANI,Telugu Desam,84429,973,85402,56.73,Achanta,56,Andhra Pradesh 
5,ALLADA SURYA BHASKARA RAO,Jaathia Chethi Vruthula Ikya Vedika Party,275,0,275,0.18,Achanta,56,Andhra Pradesh 
6,KAKI SYAM KUMAR,Jaibhim Rao Bharat Party,215,0,215,0.14,Achanta,56,Andhra Pradesh 
7,VELAGALA SREENIVASA REDDY,Jai Bharat National Party,267,3,270,0.18,Achanta,56,Andhra Pradesh 
8,RAMOJU PURNA CHANDRA SEKHAR,Independent,150,0,150,0.1,Achanta,56,Andhra Pradesh 
9,SIKILE RATNARAJU,Independent,293,0,293,0.19,Achanta,56,Andhra Pradesh 
10,NOTA,None of the Above,1661,12,1673,1.11,Achanta,56,Andhra Pradesh 
11,KISHORE BABU ADUSUMALLI,Indian National Congress,4055,17,4072,1.89,Addanki ,105,Andhra Pradesh 
12,GOTTIPATI RAVI KUMAR,Telugu Desam,115078,1340,116418,54.02,Addanki ,105,Andhra Pradesh 
13,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,90696,832,91528,42.47,Addanki ,105,Andhra Pradesh 
14,JOSEPH MANDA,Bahujan Samaj Party,438,10,448,0.21,Addanki ,105,Andhra Pradesh 
15,KANDULA YAKOBU,Liberation Congress Party,81,2,83,0.04,Addanki ,105,Andhra Pradesh 
16,GUNTUPALLI GOPI,Navodayam Party,49,0,49,0.02,Addanki ,105,Andhra Pradesh 
17,GUMMA SADASIVARAO,Pyramid Party of India,51,0,51,0.02,Addanki ,105,Andhra Pradesh 
18,PULIPATI HEBELU,Jaibhim Rao Bharat Party,109,5,114,0.05,Addanki ,105,Andhra Pradesh 
19,MEESALA SAMRAJYAM,Bharatha Chaitanya Yuvajana Party,107,3,110,0.05,Addanki ,105,Andhra Pradesh 
20,RAMBABU BACHINA,Jateeya Sama Samajam Party,448,0,448,0.21,Addanki ,105,Andhra Pradesh 
21,ATLA CHINA VENKATA REDDY,Independent,39,0,39,0.02,Addanki ,105,Andhra Pradesh 
22,DUPATI YESOBU,Independent,55,1,56,0.03,Addanki ,105,Andhra Pradesh 
23,PRABHUDASU SURABHI,Independent,69,0,69,0.03,Addanki ,105,Andhra Pradesh 
24,MANDA SRINIVASA RAO,Independent,245,6,251,0.12,Addanki ,105,Andhra Pradesh 
25,VENKATA CHARI GOLLAPATI,Independent,182,0,182,0.08,Addanki ,105,Andhra Pradesh 
26,NOTA,None of the Above,1591,9,1600,0.74,Addanki ,105,Andhra Pradesh 
27,ASIYA BANU AMLIVALE,Bahujan Samaj Party,2143,9,2152,1.22,Adoni ,146,Andhra Pradesh 
28,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,88943,986,89929,51.06,Adoni ,146,Andhra Pradesh 
29,G. RAMESH YADAV,Indian National Congress,7567,55,7622,4.33,Adoni ,146,Andhra Pradesh 
30,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,71297,468,71765,40.74,Adoni ,146,Andhra Pradesh 
31,K. RANGANNA,Jaibhim Rao Bharat Party,468,3,471,0.27,Adoni ,146,Andhra Pradesh 
32,URUKUNDU VADDE,Independent,139,1,140,0.08,Adoni ,146,Andhra Pradesh 
33,G JAYANNA,Independent,273,1,274,0.16,Adoni ,146,Andhra Pradesh 
34,K. DASTAGIRI NAIDU,Independent,726,1,727,0.41,Adoni ,146,Andhra Pradesh 
35,B. NAGARAJ,Independent,267,1,268,0.15,Adoni ,146,Andhra Pradesh 
36,G. YUVARAJ,Independent,1162,8,1170,0.66,Adoni ,146,Andhra Pradesh 
37,NOTA,None of the Above,1597,18,1615,0.92,Adoni ,146,Andhra Pradesh 
38,AKHILA PRIYA BHUMA,Telugu Desam,97473,1408,98881,49.93,Allagadda ,134,Andhra Pradesh 
39,BARAGODLA HUSSAIN BASHA,Indian National Congress,6057,43,6100,3.08,Allagadda ,134,Andhra Pradesh 
40,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,85966,878,86844,43.85,Allagadda ,134,Andhra Pradesh 
41,VARIKUTI HANNAMMA,Bahujan Samaj Party,1025,5,1030,0.52,Allagadda ,134,Andhra Pradesh 
42,EPANAGANDLA SREENIVASULU YADAV,Samajwadi Party,162,2,164,0.08,Allagadda ,134,Andhra Pradesh 
43,M.KRISHNA REDDY,Praja Ektha Party,129,1,130,0.07,Allagadda ,134,Andhra Pradesh 
44,CHEEMALA RAMESH,Navarang Congress Party,113,0,113,0.06,Allagadda ,134,Andhra Pradesh 
45,CHENNAIAH MADARA,Anna YSR Congress Party,105,3,108,0.05,Allagadda ,134,Andhra Pradesh 
46,DARA SHEKHAR,Jaibhim Rao Bharat Party,117,2,119,0.06,Allagadda ,134,Andhra Pradesh 
47,NERELLA OBULESU,Revolutionary Socialist Party,216,2,218,0.11,Allagadda ,134,Andhra Pradesh 
48,C. VENKATA RAMANA,Neethi Nijayithi Party,91,2,93,0.05,Allagadda ,134,Andhra Pradesh 
49,ANISETTY BALA PEDDAIAH,Independent,110,1,111,0.06,Allagadda ,134,Andhra Pradesh 
50,ARLA PADMAJA,Independent,114,1,115,0.06,Allagadda ,134,Andhra Pradesh 
51,KOTTAPU PEDDI REDDY,Independent,272,0,272,0.14,Allagadda ,134,Andhra Pradesh 
52,GANGULA PRAHLADA REDDY,Independent,321,1,322,0.16,Allagadda ,134,Andhra Pradesh 
53,K. CHANDRA SEKHARA REDDY,Independent,657,0,657,0.33,Allagadda ,134,Andhra Pradesh 
